,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Cổ tức và tiền lãi nhận được,"428,988,486,177.00","1,791,187,123,736.00","-681,536,002,504.00","188,313,343,369.00","72,907,729,152.00","1,125,274,432,093.00","-278,698,869,753.00","305,754,643,259.00","187,519,990,129.00","308,719,460,282.00","315,786,623,119.00","383,190,902,192.00","229,515,144,802.00","271,138,307,918.00","587,724,826,707.00"
Lưu chuyển tiền tệ từ hoạt động tài chính,"-6,629,701,851,394.00","2,820,618,105,543.00","-168,131,157,540.00","-2,912,692,241,071.00","7,533,387,460,786.00","12,050,332,227,231.00","-4,403,769,302,786.00","5,798,966,174,176.00","4,369,168,488,323.00","6,078,292,549,103.00","5,484,213,143,794.00","4,047,042,703,711.00","-5,747,615,552,117.00","-767,794,471,020.00","4,019,728,078,420.00"
Tiền thu từ phát hành cổ phiếu và vốn góp,"2,250,000,000.00","500,000,000.00",0.00,0.00,"200,000,000.00","40,000,000,000.00",0.00,"90,136,000,000.00","103,000,000,000.00","100,000,000.00","525,100,000,000.00","1,260,500,000,000.00","-1,098,200,000,000.00","906,464,079,800.00","20,080,000,000.00"
"Chi trả cho việc mua lại, trả lại cổ phiếu",0.00,0.00,"-1,750,000,000.00","-523,080,000.00","-70,560,000.00","-100,000,000.00","-2,420,000.00",0.00,"-17,140,000.00",0.00,"-52,020,000.00","-40,275,000,000.00","40,272,000,000.00","-133,022,500,000.00","-20,000,000.00"
Tiền thu được các khoản đi vay,"20,090,198,575,763.00","29,747,246,722,377.00","30,250,075,237,636.00","30,104,574,327,511.00","37,040,198,581,692.00","44,109,437,021,720.00","41,954,146,315,610.00","45,987,162,684,520.00","42,414,841,815,225.00","42,070,537,735,752.00","37,133,314,442,108.00","37,526,149,069,159.00","32,818,989,148,452.00","37,972,026,707,821.00","33,108,134,858,225.00"
Tiển trả các khoản đi vay,"-26,729,017,842,245.00","-26,927,061,343,325.00","-30,416,146,549,804.00","-33,016,730,316,247.00","-29,499,317,057,488.00","-32,099,643,158,043.00","-46,356,254,460,746.00","-40,276,725,834,290.00","-38,146,312,226,161.00","-35,992,323,059,515.00","-32,170,574,605,521.00","-34,691,683,779,555.00","-37,483,382,298,841.00","-39,509,669,716,860.00","-25,174,836,242,420.00"
Tiền thanh toán vốn gốc đi thuê tài chính,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cổ tức đã trả,"6,867,415,088.00","-67,273,509.00","-309,845,372.00","-13,172,335.00","-7,623,503,418.00","638,363,554.00","-1,658,737,650.00","-1,606,676,054.00","-2,343,960,741.00","-22,127,134.00","-3,574,672,793.00","-7,647,585,893.00","-25,294,401,728.00","-3,593,041,781.00","-3,933,630,537,385.00"
Tiền lãi đã nhận,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lưu chuyển tiền thuần trong kỳ,"-3,546,833,717,032.00","-454,880,093,210.00","5,385,641,112,176.00","-3,556,966,250,199.00","2,569,747,973,167.00","175,008,377,258.00","601,984,501,087.00","-4,523,197,787,478.00","-1,618,915,101,156.00","571,842,456,852.00","3,229,354,345,834.00","-1,596,799,641,187.00","-790,998,129,115.00","3,127,666,961,787.00","-1,672,604,986,409.00"
Tiền và tương đương tiền đầu kỳ,"11,881,408,346,665.00","8,324,588,920,227.00","7,868,451,566,326.00","13,252,855,086,239.00","9,696,669,423,876.00","12,252,001,160,884.00","12,428,888,036,237.00","13,032,037,853,283.00","8,500,998,079,280.00","6,887,646,139,852.00","7,459,035,818,129.00","10,688,024,277,258.00","9,092,562,739,415.00","8,325,103,342,897.00","11,455,231,038,505.00"
Ảnh hưởng của chênh lệch tỷ giá,"-9,985,709,406.00","-1,257,260,691.00","-1,237,592,263.00","780,587,836.00","983,763,841.00","1,878,498,095.00","1,165,315,959.00","-7,841,986,525.00","5,563,161,728.00","-452,778,575.00","-365,886,705.00","1,338,103,344.00","-674,306,095.00","2,460,733,821.00","-568,691,187.00"
Tiền và tương đương tiền cuối kỳ,"8,324,588,920,227.00","7,868,451,566,326.00","13,252,855,086,239.00","9,696,669,423,876.00","12,267,401,160,884.00","12,428,888,036,237.00","13,032,037,853,283.00","8,500,998,079,280.00","6,887,646,139,852.00","7,459,035,818,129.00","10,688,024,277,258.00","9,092,562,739,415.00","8,300,890,304,205.00","11,455,231,038,505.00","9,782,057,360,909.00"
,,,,,,,,,,,,,,,
Dữ liệu được cung cấp bởi FiinTrade,,,,,,,,,,,,,,,
https://fiintrade.vn/,,,,,,,,,,,,,,,
