,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Thuế và các khoản phải trả Nhà nước,"648,407,591,981.00","305,095,800,608.00","603,750,905,856.00","810,484,717,916.00","945,404,457,633.00","487,453,977,835.00","895,384,348,204.00","1,438,519,795,665.00","1,743,411,429,415.00","598,699,176,814.00","1,381,630,142,757.00","2,106,828,051,547.00","2,377,396,188,571.00","1,909,521,507,440.00","2,644,753,151,956.00"
Phải trả người lao động,"306,208,839,467.00","204,794,211,289.00","200,725,745,136.00","233,190,528,218.00","403,391,467,732.00","322,326,226,746.00","265,370,728,604.00","277,438,336,855.00","890,893,543,298.00","284,189,911,532.00","272,364,201,644.00","317,735,935,434.00","995,918,246,781.00","343,809,506,691.00","344,544,994,396.00"
Chi phí phải trả,"460,508,546,638.00","511,846,282,215.00","559,342,319,680.00","597,037,993,903.00","477,102,216,071.00","683,863,994,768.00","1,035,971,717,685.00","1,078,411,787,488.00","682,112,072,502.00","947,037,881,276.00","1,119,741,083,109.00","1,399,310,566,535.00","939,347,023,380.00","1,300,632,191,974.00","1,741,405,043,384.00"
Phải trả nội bộ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phải trả về xây dựng cơ bản,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Doanh thu chưa thực hiện ngắn hạn,"16,974,936,888.00","64,405,510,032.00","33,818,576,170.00","70,687,089,803.00","9,979,596,501.00","46,351,267,426.00","26,532,249,143.00","192,726,170,767.00","11,060,479,431.00","55,479,217,611.00","34,948,909,558.00","46,062,427,795.00","152,519,279,244.00","60,310,161,581.00","56,565,429,771.00"
Phải trả khác,"418,550,744,668.00","432,722,756,354.00","360,954,142,136.00","381,199,474,381.00","182,970,590,524.00","193,408,165,330.00","332,722,653,625.00","245,557,195,543.00","188,076,845,190.00","525,839,075,832.00","305,807,445,331.00","544,878,875,265.00","2,011,792,352,575.00","348,247,387,218.00","414,382,997,288.00"
Vay ngắn hạn,"46,748,670,400,471.00","50,354,261,925,455.00","51,748,268,155,863.00","49,237,590,969,260.00","54,981,883,180,636.00","61,438,295,764,670.00","53,315,313,650,059.00","54,180,722,680,952.00","55,882,686,213,459.00","61,784,512,821,075.00","66,692,028,477,152.00","68,482,383,626,253.00","64,694,957,245,143.00","62,799,568,273,773.00","71,433,383,400,905.00"
Dự phòng các khoản phải trả ngắn hạn,"5,198,833,687.00","4,857,234,630.00","5,330,870,808.00","6,313,611,258.00","8,054,106,025.00","6,838,205,447.00","5,751,868,939.00","11,253,194,472.00","13,672,830,889.00","15,092,031,400.00","15,105,856,400.00","11,901,191,883.00","15,437,227,372.00","14,183,287,772.00","15,501,183,193.00"
"Quỹ khen thưởng, phúc lợi","1,812,955,327,314.00","1,648,931,425,504.00","1,588,214,151,324.00","1,471,454,170,833.00","1,375,476,964,884.00","1,094,122,735,781.00","1,251,902,578,345.00","1,179,261,489,728.00","1,027,310,381,825.00","806,996,402,371.00","1,162,748,596,302.00","1,105,148,450,487.00","975,878,976,922.00","756,461,165,051.00","773,058,323,325.00"
