,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Tài sản lưu động khác,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"91,707,323,232.00"
TÀI SẢN DÀI HẠN,"32,569,100,326,514.00","32,422,351,033,712.00","32,530,197,099,346.00","33,692,766,692,473.00","34,815,341,137,220.00","34,418,694,772,815.00","30,040,551,566,254.00","30,273,582,607,846.00","30,953,410,567,039.00","30,929,543,230,035.00","32,615,079,690,967.00","33,268,260,459,498.00","34,178,464,517,829.00","38,045,355,792,450.00","44,254,447,456,183.00"
Phải thu dài hạn,"335,185,420,670.00","375,155,886,615.00","711,037,118,192.00","758,625,551,327.00","811,535,383,282.00","824,463,092,199.00","1,282,697,583,720.00","1,308,226,777,952.00","1,409,059,267,857.00","1,535,664,694,047.00","2,147,427,473,047.00","2,101,089,927,103.00","2,246,261,866,399.00","1,245,003,129,601.00","1,222,990,004,182.00"
Phải thu khách hàng dài hạn,0.00,0.00,0.00,"7,167,539,911.00","7,167,539,911.00","7,167,539,911.00","10,723,738,627.00","21,179,532,471.00","10,411,001,970.00","9,387,653,743.00","9,387,653,743.00","12,116,565,103.00","9,387,653,743.00","9,387,653,743.00","7,142,799,887.00"
Trả trước người bán dài hạn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vốn kinh doanh ở các đơn vị trực thuộc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phải thu nội bộ dài hạn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phải thu về cho vay dài hạn,"15,000,000,000.00","45,000,000,000.00","432,659,421,568.00","417,408,977,662.00","521,517,021,335.00","547,220,908,460.00","982,284,326,543.00","997,197,486,247.00","1,105,072,486,247.00","1,082,947,486,247.00","1,050,822,486,247.00","1,003,565,640,648.00","998,590,640,648.00",0.00,0.00
Phải thu dài hạn khác,"320,185,420,670.00","330,155,886,615.00","278,377,696,624.00","334,049,033,754.00","282,850,822,036.00","270,074,643,828.00","289,689,518,550.00","289,849,759,234.00","293,575,779,640.00","443,329,554,057.00","1,168,280,159,980.00","1,166,470,548,275.00","1,319,346,398,931.00","1,316,678,302,781.00","1,306,461,989,950.00"
Dự phòng phải thu dài hạn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-81,062,826,923.00","-81,062,826,923.00","-81,062,826,923.00","-81,062,826,923.00","-90,614,785,655.00"
