,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Tiền thu được các khoản đi vay,"4,217,299,905,548.00","5,450,891,026,348.00","4,954,019,762,103.00","5,146,712,381,885.00","7,589,747,678,284.00","7,099,208,757,068.00","5,880,973,665,072.00","6,822,817,815,632.00","7,052,704,468,027.00","8,747,354,900,112.00","9,073,678,016,338.00","8,796,032,385,102.00","12,134,300,883,122.00","15,240,657,733,019.00","11,074,669,226,601.00"
Tiển trả các khoản đi vay,"-4,969,559,578,343.00","-3,964,532,771,532.00","-5,421,520,992,954.00","-4,148,404,932,051.00","-6,421,811,428,186.00","-7,030,400,438,479.00","-5,489,473,815,039.00","-6,202,360,580,163.00","-8,414,030,581,767.00","-5,791,059,355,391.00","-8,449,466,325,942.00","-6,578,224,382,934.00","-7,503,468,336,652.00","-8,449,559,685,598.00","-9,068,390,563,014.00"
Tiền thanh toán vốn gốc đi thuê tài chính,"-30,258,471,986.00","-15,493,098,064.00","-10,485,815,212.00","-7,687,384,844.00","-17,685,411,932.00","-13,037,425,218.00","-31,723,573,712.00","-3,576,689,445.00","-20,226,613,988.00","-10,739,050,363.00","-28,290,801,791.00","-19,613,111,680.00","-16,881,166,945.00","-29,133,493,096.00","-11,292,069,420.00"
Cổ tức đã trả,"-287,845,354,192.00","-18,345,299,700.00","-300,030,718,892.00","-95,311,026,730.00","-410,916,462,114.00","-44,505,739,666.00","-159,473,036,811.00","-7,639,129,697.00","-310,187,775,933.00","-34,423,326,003.00","-699,224,439,843.00","-374,025,103,687.00","-1,249,170,725,641.00","-17,023,992,719.00","-396,007,233,350.00"
Tiền lãi đã nhận,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lưu chuyển tiền thuần trong kỳ,"-1,171,324,638,314.00","910,703,717,552.00","-423,093,563,265.00","253,083,237,831.00","-578,300,606,909.00","-99,686,707,579.00","1,101,049,291,592.00","-1,608,730,581,091.00","1,363,113,862,458.00","180,020,593,684.00","-439,718,813,482.00","863,542,907,247.00","3,974,645,183,856.00","-3,532,683,073,901.00","652,990,919,774.00"
Tiền và tương đương tiền đầu kỳ,"4,333,025,804,095.00","3,156,250,619,707.00","4,065,754,410,223.00","3,644,263,918,422.00","3,895,460,589,071.00","3,312,661,845,659.00","3,212,075,589,072.00","4,315,827,075,586.00","2,706,337,002,493.00","4,074,201,905,889.00","4,254,129,736,742.00","3,817,206,495,630.00","4,682,232,720,926.00","8,659,541,542,782.00","5,127,135,467,527.00"
Ảnh hưởng của chênh lệch tỷ giá,0.00,"-1,199,927,036.00","1,603,071,464.00","-1,886,567,182.00","-1,408,988,447.00","-899,549,008.00","2,702,194,922.00","-759,492,002.00","4,751,040,938.00","-92,762,831.00","2,795,572,370.00","1,483,318,049.00","2,663,638,000.00","276,998,646.00","1,254,166,361.00"
Tiền và tương đương tiền cuối kỳ,"3,161,701,165,781.00","4,065,754,410,223.00","3,644,263,918,422.00","3,895,460,589,071.00","3,315,750,993,715.00","3,212,075,589,072.00","4,315,827,075,586.00","2,706,337,002,493.00","4,074,201,905,889.00","4,254,129,736,742.00","3,817,206,495,630.00","4,682,232,720,926.00","8,659,541,542,782.00","5,127,135,467,527.00","5,738,939,098,562.00"
,,,,,,,,,,,,,,,
Dữ liệu được cung cấp bởi FiinTrade,,,,,,,,,,,,,,,
https://fiintrade.vn/,,,,,,,,,,,,,,,
