,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-243,427,000,000.00","-29,524,000,000.00","-239,563,000,000.00","-125,315,000,000.00","-344,232,000,000.00","-201,089,000,000.00","-226,586,000,000.00","-178,693,000,000.00","-722,655,000,000.00","-223,497,000,000.00","-358,420,000,000.00","-572,769,000,000.00","-760,506,000,000.00","-315,503,000,000.00","-351,908,000,000.00"
Tiền mua tài sản cố định và các tài sản dài hạn khác,"-192,133,000,000.00","-64,500,000,000.00","-241,972,000,000.00","-167,995,000,000.00","-364,386,000,000.00","-202,139,000,000.00","-236,047,000,000.00","-194,221,000,000.00","-729,672,000,000.00","-225,314,000,000.00","-402,610,000,000.00","-589,230,000,000.00","-787,796,000,000.00","-342,626,000,000.00","-369,830,000,000.00"
Tiền thu được từ thanh lý tài sản cố định,"5,879,000,000.00","936,000,000.00","1,912,000,000.00","2,611,000,000.00","5,014,000,000.00","1,108,000,000.00","3,861,000,000.00","3,461,000,000.00","6,728,000,000.00","1,715,000,000.00","7,331,000,000.00","4,563,000,000.00","8,658,000,000.00","887,000,000.00","1,244,000,000.00"
"Tiền chi từ thanh lý, nhượng bán TSCĐ","-1,433,000,000.00","-121,000,000.00","-175,000,000.00","-315,000,000.00","-1,980,000,000.00","-270,000,000.00","-1,244,000,000.00","-347,000,000.00","-780,000,000.00","-145,000,000.00","-643,000,000.00","-398,000,000.00","-2,675,000,000.00","-155,000,000.00","-442,000,000.00"
Mua sắm Bất động sản đầu tư,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tiền thu từ bán, thanh lý bất động sản đầu tư",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tiền chi ra do bán, thanh lý bất động sản đầu tư",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Đầu tư vào các doanh nghiệp khác,"-6,200,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,"-61,988,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cổ tức và tiền lãi nhận được,"12,448,000,000.00","34,161,000,000.00","672,000,000.00","40,384,000,000.00","17,120,000,000.00","212,000,000.00","6,844,000,000.00","12,414,000,000.00","1,069,000,000.00","247,000,000.00","37,502,000,000.00","12,296,000,000.00","21,307,000,000.00","26,391,000,000.00","17,120,000,000.00"
Lưu chuyển tiền từ hoạt động tài chính,0.00,0.00,0.00,0.00,0.00,0.00,"1,537,000,000.00",0.00,0.00,0.00,0.00,0.00,"-2,416,496,000,000.00",0.00,"2,221,495,000,000.00"
Tiền thu từ phát hành cổ phiếu và vốn góp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
