,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","2,392,201,000,000.00","2,318,712,000,000.00","2,406,112,000,000.00","2,498,010,000,000.00","2,237,779,000,000.00","2,201,409,000,000.00","2,232,594,000,000.00","2,104,778,000,000.00","2,179,950,000,000.00","2,115,411,000,000.00","2,163,542,000,000.00","2,117,928,000,000.00","2,113,898,000,000.00","2,062,395,000,000.00","2,054,621,000,000.00"
Phát hành giấy tờ có giá,"91,370,419,000,000.00","111,592,448,000,000.00","112,618,359,000,000.00","87,878,620,000,000.00","115,375,727,000,000.00","101,543,990,000,000.00","100,256,876,000,000.00","131,825,535,000,000.00","151,678,090,000,000.00","203,356,202,000,000.00","227,953,926,000,000.00","182,199,719,000,000.00","174,030,352,000,000.00","149,264,503,000,000.00","142,990,024,000,000.00"
Các khoản nợ khác,"43,000,914,000,000.00","47,418,144,000,000.00","47,595,220,000,000.00","55,392,899,000,000.00","49,812,706,000,000.00","43,969,319,000,000.00","45,502,136,000,000.00","43,889,965,000,000.00","45,892,099,000,000.00","41,036,298,000,000.00","49,731,862,000,000.00","52,416,500,000,000.00","55,851,516,000,000.00","52,351,162,000,000.00","58,757,716,000,000.00"
Vốn chủ sở hữu,"108,304,722,000,000.00","112,945,173,000,000.00","118,060,373,000,000.00","122,005,123,000,000.00","127,570,582,000,000.00","130,582,488,000,000.00","135,972,854,000,000.00","140,985,956,000,000.00","148,504,708,000,000.00","153,982,172,000,000.00","163,826,196,000,000.00","169,881,000,000,000.00","179,655,005,000,000.00","188,692,158,000,000.00","200,214,302,000,000.00"
Vốn của tổ chức tín dụng,"57,868,215,000,000.00","57,868,215,000,000.00","57,868,215,000,000.00","57,868,215,000,000.00","63,510,626,000,000.00","63,510,626,000,000.00","63,510,626,000,000.00","63,510,626,000,000.00","63,583,999,000,000.00","63,583,999,000,000.00","64,067,733,000,000.00","64,249,146,000,000.00","88,218,675,000,000.00","88,218,675,000,000.00","88,814,180,000,000.00"
Vốn điều lệ,"48,057,506,000,000.00","48,057,506,000,000.00","48,057,506,000,000.00","48,057,506,000,000.00","53,699,917,000,000.00","53,699,917,000,000.00","53,699,917,000,000.00","53,699,917,000,000.00","53,699,917,000,000.00","53,699,917,000,000.00","53,699,917,000,000.00","53,699,917,000,000.00","77,669,446,000,000.00","77,669,446,000,000.00","77,669,446,000,000.00"
Vốn đầu tư XDCB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thặng dư vốn cổ phần,"8,974,677,000,000.00","8,974,677,000,000.00","8,974,677,000,000.00","8,974,677,000,000.00","8,974,677,000,000.00","8,974,677,000,000.00","8,974,677,000,000.00","8,974,677,000,000.00","8,974,677,000,000.00","8,974,677,000,000.00","8,974,666,000,000.00","8,974,666,000,000.00","8,974,666,000,000.00","8,974,666,000,000.00","8,974,656,000,000.00"
Cổ phiếu Quỹ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cổ phiếu ưu đãi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vốn khác,"836,032,000,000.00","836,032,000,000.00","836,032,000,000.00","836,032,000,000.00","836,032,000,000.00","836,032,000,000.00","836,032,000,000.00","836,032,000,000.00","909,405,000,000.00","909,405,000,000.00","1,393,150,000,000.00","1,574,563,000,000.00","1,574,563,000,000.00","1,574,563,000,000.00","2,170,078,000,000.00"
Quỹ của tổ chức tín dụng,"16,084,513,000,000.00","16,075,417,000,000.00","16,085,751,000,000.00","16,089,954,000,000.00","19,056,816,000,000.00","19,048,471,000,000.00","19,070,977,000,000.00","19,077,178,000,000.00","25,316,757,000,000.00","25,314,098,000,000.00","25,343,661,000,000.00","25,361,600,000,000.00","31,654,355,000,000.00","31,660,817,000,000.00","31,651,682,000,000.00"
Chênh lệch tỷ giá hối đoái,"120,993,000,000.00","75,353,000,000.00","6,860,000,000.00","61,591,000,000.00","86,970,000,000.00","125,322,000,000.00","182,531,000,000.00","35,561,000,000.00","243,105,000,000.00","229,673,000,000.00","409,359,000,000.00","410,686,000,000.00","362,748,000,000.00","431,024,000,000.00","346,575,000,000.00"
Chênh lệch đánh giá lại tài sản,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lợi nhuận chưa phân phối,"33,487,474,000,000.00","38,167,405,000,000.00","43,293,999,000,000.00","47,147,795,000,000.00","44,054,853,000,000.00","46,998,456,000,000.00","52,284,565,000,000.00","57,471,783,000,000.00","58,390,118,000,000.00","63,803,161,000,000.00","72,903,163,000,000.00","78,693,609,000,000.00","58,212,794,000,000.00","67,132,147,000,000.00","78,144,110,000,000.00"
Lợi ích của cổ đông thiểu số,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
Dữ liệu được cung cấp bởi FiinTrade,,,,,,,,,,,,,,,
https://fiintrade.vn/,,,,,,,,,,,,,,,
