,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Trả trước người bán dài hạn,"4,097,898,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vốn kinh doanh ở các đơn vị trực thuộc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phải thu nội bộ dài hạn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phải thu về cho vay dài hạn,"2,486,207,000,000.00","2,491,207,000,000.00","5,818,300,000,000.00","518,826,000,000.00","1,147,876,000,000.00","2,414,656,000,000.00","15,415,355,000,000.00","2,854,876,000,000.00","23,359,127,000,000.00",0.00,"22,880,838,000,000.00","11,892,765,000,000.00","1,546,164,000,000.00",0.00,0.00
Phải thu dài hạn khác,"645,829,000,000.00","5,770,239,000,000.00","6,194,244,000,000.00","6,312,876,000,000.00","5,953,109,000,000.00","7,833,580,000,000.00","11,418,442,000,000.00","11,375,130,000,000.00","57,573,484,000,000.00","58,258,943,000,000.00","9,701,525,000,000.00","12,733,642,000,000.00","18,734,535,000,000.00","23,282,519,000,000.00","29,041,033,000,000.00"
Dự phòng phải thu dài hạn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tài sản cố định,"122,908,696,000,000.00","135,367,481,000,000.00","143,635,620,000,000.00","147,864,388,000,000.00","159,594,207,000,000.00","175,829,606,000,000.00","184,376,245,000,000.00","186,833,298,000,000.00","182,943,333,000,000.00","180,969,752,000,000.00","184,762,254,000,000.00","185,370,711,000,000.00","195,394,144,000,000.00","195,303,913,000,000.00","107,930,510,000,000.00"
GTCL TSCĐ hữu hình,"104,993,428,000,000.00","108,226,040,000,000.00","115,640,660,000,000.00","120,288,503,000,000.00","127,284,955,000,000.00","140,423,986,000,000.00","146,062,849,000,000.00","149,295,164,000,000.00","145,305,970,000,000.00","144,075,535,000,000.00","147,577,061,000,000.00","147,679,518,000,000.00","158,914,158,000,000.00","160,683,471,000,000.00","99,229,456,000,000.00"
Nguyên giá TSCĐ hữu hình,"134,302,601,000,000.00","139,703,827,000,000.00","149,169,062,000,000.00","156,852,371,000,000.00","166,090,800,000,000.00","183,002,034,000,000.00","190,728,078,000,000.00","198,423,691,000,000.00","196,866,872,000,000.00","199,766,964,000,000.00","206,191,609,000,000.00","212,719,637,000,000.00","229,032,461,000,000.00","234,619,850,000,000.00","140,082,428,000,000.00"
Khấu hao lũy kế TSCĐ hữu hình,"-29,309,173,000,000.00","-31,477,787,000,000.00","-33,528,402,000,000.00","-36,563,868,000,000.00","-38,805,845,000,000.00","-42,578,048,000,000.00","-44,665,229,000,000.00","-49,128,527,000,000.00","-51,560,902,000,000.00","-55,691,429,000,000.00","-58,614,548,000,000.00","-65,040,119,000,000.00","-70,118,303,000,000.00","-73,936,379,000,000.00","-40,852,972,000,000.00"
GTCL Tài sản thuê tài chính,0.00,0.00,0.00,0.00,"205,113,000,000.00","295,046,000,000.00","229,798,000,000.00","351,112,000,000.00","226,253,000,000.00","269,765,000,000.00","318,387,000,000.00","827,506,000,000.00","147,132,000,000.00","141,936,000,000.00","223,640,000,000.00"
Nguyên giá tài sản thuê tài chính,0.00,0.00,0.00,0.00,"219,356,000,000.00","334,354,000,000.00","318,092,000,000.00","480,723,000,000.00","386,311,000,000.00","499,845,000,000.00","559,672,000,000.00","1,118,414,000,000.00","308,317,000,000.00","323,360,000,000.00","447,774,000,000.00"
Khấu hao lũy kế tài sản thuê tài chính,0.00,0.00,0.00,0.00,"-14,243,000,000.00","-39,308,000,000.00","-88,294,000,000.00","-129,611,000,000.00","-160,058,000,000.00","-230,080,000,000.00","-241,285,000,000.00","-290,908,000,000.00","-161,185,000,000.00","-181,424,000,000.00","-224,134,000,000.00"
GTCL tài sản cố định vô hình,"17,915,268,000,000.00","27,141,441,000,000.00","27,994,960,000,000.00","27,575,885,000,000.00","32,104,139,000,000.00","35,110,574,000,000.00","38,083,598,000,000.00","37,187,022,000,000.00","37,411,110,000,000.00","36,624,452,000,000.00","36,866,806,000,000.00","36,863,687,000,000.00","36,332,854,000,000.00","34,478,506,000,000.00","8,477,414,000,000.00"
Nguyên giá TSCĐ vô hình,"30,778,904,000,000.00","40,669,638,000,000.00","42,668,387,000,000.00","43,445,115,000,000.00","49,242,935,000,000.00","53,771,984,000,000.00","58,414,773,000,000.00","59,334,446,000,000.00","61,376,309,000,000.00","62,845,057,000,000.00","64,572,800,000,000.00","66,574,477,000,000.00","69,353,838,000,000.00","70,424,746,000,000.00","13,020,061,000,000.00"
Khấu hao lũy kế TSCĐ vô hình,"-12,863,636,000,000.00","-13,528,197,000,000.00","-14,673,427,000,000.00","-15,869,230,000,000.00","-17,138,796,000,000.00","-18,661,410,000,000.00","-20,331,175,000,000.00","-22,147,424,000,000.00","-23,965,199,000,000.00","-26,220,605,000,000.00","-27,705,994,000,000.00","-29,710,790,000,000.00","-33,020,984,000,000.00","-35,946,240,000,000.00","-4,542,647,000,000.00"
Bất động sản đầu tư,"38,400,267,000,000.00","39,607,843,000,000.00","39,780,799,000,000.00","39,451,116,000,000.00","38,210,694,000,000.00","15,899,295,000,000.00","16,709,756,000,000.00","15,067,665,000,000.00","13,033,418,000,000.00","12,770,851,000,000.00","11,603,410,000,000.00","18,934,011,000,000.00","19,353,620,000,000.00","19,194,189,000,000.00","19,235,563,000,000.00"
Nguyên giá tài sản đầu tư,"48,534,086,000,000.00","50,160,630,000,000.00","50,745,647,000,000.00","50,815,799,000,000.00","49,781,700,000,000.00","17,046,151,000,000.00","19,426,921,000,000.00","17,817,658,000,000.00","16,005,296,000,000.00","15,858,044,000,000.00","14,552,665,000,000.00","22,089,314,000,000.00","22,681,433,000,000.00","22,750,759,000,000.00","22,947,848,000,000.00"
Khấu hao lũy kế tài sản đầu tư,"-10,133,819,000,000.00","-10,552,787,000,000.00","-10,964,848,000,000.00","-11,364,683,000,000.00","-11,571,006,000,000.00","-1,146,856,000,000.00","-2,717,165,000,000.00","-2,749,993,000,000.00","-2,971,878,000,000.00","-3,087,193,000,000.00","-2,949,255,000,000.00","-3,155,303,000,000.00","-3,327,813,000,000.00","-3,556,570,000,000.00","-3,712,285,000,000.00"
Tài sản dở dang dài hạn,"111,164,089,000,000.00","100,099,331,000,000.00","101,571,105,000,000.00","111,509,466,000,000.00","95,874,248,000,000.00","98,121,221,000,000.00","99,642,283,000,000.00","109,297,386,000,000.00","113,358,029,000,000.00","115,225,458,000,000.00","122,244,286,000,000.00","124,736,532,000,000.00","131,774,981,000,000.00","139,091,454,000,000.00","141,351,234,000,000.00"
"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Xây dựng cơ bản dở dang,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Đầu tư dài hạn,"11,170,860,000,000.00","10,228,952,000,000.00","10,657,937,000,000.00","11,014,438,000,000.00","15,252,380,000,000.00","33,296,747,000,000.00","30,220,404,000,000.00","23,657,660,000,000.00","27,060,860,000,000.00","26,832,752,000,000.00","31,399,347,000,000.00","32,709,444,000,000.00","37,987,850,000,000.00","68,610,394,000,000.00","51,958,068,000,000.00"
Đầu tư vào các công ty con,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Đầu tư vào công ty liên doanh,"493,514,000,000.00","1,012,370,000,000.00","1,486,454,000,000.00","1,504,299,000,000.00","1,539,089,000,000.00","10,261,537,000,000.00","14,582,910,000,000.00","9,141,931,000,000.00","9,221,746,000,000.00","9,479,573,000,000.00","9,690,651,000,000.00","9,783,132,000,000.00","10,437,972,000,000.00","10,809,066,000,000.00","9,963,372,000,000.00"
Đầu tư dài hạn khác,"10,707,516,000,000.00","9,246,752,000,000.00","9,250,972,000,000.00","9,627,698,000,000.00","13,892,460,000,000.00","23,947,574,000,000.00","16,926,510,000,000.00","16,092,357,000,000.00","19,388,427,000,000.00","19,407,044,000,000.00","23,026,722,000,000.00","24,743,866,000,000.00","30,521,035,000,000.00","44,670,551,000,000.00","43,841,222,000,000.00"
Dự phòng giảm giá đầu tư dài hạn,"-166,336,000,000.00","-166,336,000,000.00","-185,655,000,000.00","-185,655,000,000.00","-185,655,000,000.00","-914,571,000,000.00","-1,316,487,000,000.00","-1,609,819,000,000.00","-1,588,779,000,000.00","-2,076,051,000,000.00","-2,081,180,000,000.00","-2,210,613,000,000.00","-3,339,307,000,000.00","-3,436,252,000,000.00","-2,591,867,000,000.00"
Đầu tư nắm giữ đến ngày đáo hạn,"136,166,000,000.00","136,166,000,000.00","106,166,000,000.00","68,096,000,000.00","6,486,000,000.00","2,207,000,000.00","27,471,000,000.00","33,191,000,000.00","39,466,000,000.00","22,186,000,000.00","763,154,000,000.00","393,059,000,000.00","368,150,000,000.00","16,567,029,000,000.00","745,341,000,000.00"
Tài sản dài hạn khác,"8,920,254,000,000.00","9,571,811,000,000.00","10,148,849,000,000.00","10,104,960,000,000.00","10,246,711,000,000.00","9,754,046,000,000.00","12,358,292,000,000.00","17,246,291,000,000.00","21,164,104,000,000.00","25,912,728,000,000.00","45,416,514,000,000.00","109,926,939,000,000.00","54,250,698,000,000.00","63,405,220,000,000.00","132,757,611,000,000.00"
