,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Cổ tức và tiền lãi nhận được,"3,764,260,000,000.00","10,635,000,000.00","1,022,508,000,000.00","255,813,000,000.00","13,058,000,000.00","39,773,000,000.00","3,134,788,000,000.00","121,520,000,000.00","-1,517,171,000,000.00","403,882,000,000.00","1,222,227,000,000.00","347,157,000,000.00","4,447,128,000,000.00","2,201,216,000,000.00","350,940,000,000.00"
Lưu chuyển tiền tệ từ hoạt động tài chính,"-8,162,381,000,000.00","10,831,452,000,000.00","5,297,413,000,000.00","13,098,626,000,000.00","20,559,393,000,000.00","20,047,382,000,000.00","-933,309,000,000.00","-4,486,732,000,000.00","-3,692,987,000,000.00","24,012,092,000,000.00","29,891,619,000,000.00","41,511,039,000,000.00","6,204,373,000,000.00","24,473,223,000,000.00","77,601,523,000,000.00"
Tiền thu từ phát hành cổ phiếu và vốn góp,"175,605,000,000.00","101,648,000,000.00","1,142,700,000,000.00","8,350,800,000,000.00","1,157,400,000,000.00","9,621,948,000,000.00","6,017,058,000,000.00","20,000,000,000.00",0.00,"1,210,662,000,000.00","492,266,000,000.00","246,100,000,000.00","318,000,000,000.00","340,000,000,000.00","6,965,076,000,000.00"
"Chi trả cho việc mua lại, trả lại cổ phiếu",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-10,485,188,000,000.00",0.00,0.00,0.00,0.00,"-3,000,000,000.00",0.00
Tiền thu được các khoản đi vay,"18,200,682,000,000.00","16,491,262,000,000.00","32,222,702,000,000.00","22,652,997,000,000.00","47,344,895,000,000.00","35,329,504,000,000.00","36,439,108,000,000.00","41,070,906,000,000.00","44,866,250,000,000.00","63,585,814,000,000.00","66,880,997,000,000.00","90,020,118,000,000.00","67,062,921,000,000.00","57,727,404,000,000.00","129,503,096,000,000.00"
Tiển trả các khoản đi vay,"-25,880,718,000,000.00","-5,761,458,000,000.00","-28,067,989,000,000.00","-17,905,086,000,000.00","-27,881,952,000,000.00","-24,304,070,000,000.00","-43,336,828,000,000.00","-45,625,047,000,000.00","-37,884,299,000,000.00","-40,784,384,000,000.00","-37,373,466,000,000.00","-47,970,031,000,000.00","-59,227,351,000,000.00","-33,555,181,000,000.00","-58,500,492,000,000.00"
Tiền thanh toán vốn gốc đi thuê tài chính,0.00,0.00,0.00,0.00,0.00,0.00,"-52,647,000,000.00","52,647,000,000.00","-128,800,000,000.00",0.00,"-85,334,000,000.00","85,334,000,000.00","-265,382,000,000.00",0.00,0.00
Cổ tức đã trả,"-657,950,000,000.00",0.00,0.00,"-85,000,000.00","-60,950,000,000.00","-600,000,000,000.00",0.00,"-5,238,000,000.00","-60,950,000,000.00",0.00,"-22,844,000,000.00","-870,482,000,000.00","-1,683,815,000,000.00","-36,000,000,000.00","-366,157,000,000.00"
Tiền lãi đã nhận,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lưu chuyển tiền thuần trong kỳ,"-240,355,000,000.00","-8,763,718,000,000.00","1,053,756,000,000.00","-1,621,325,000,000.00","12,407,520,000,000.00","-1,329,539,000,000.00","1,974,824,000,000.00","-1,587,666,000,000.00","15,880,145,000,000.00","-10,090,428,000,000.00","41,708,993,000,000.00","-2,050,212,000,000.00","1,367,256,000,000.00","-17,476,201,000,000.00","21,644,920,000,000.00"
Tiền và tương đương tiền đầu kỳ,"26,449,568,000,000.00","26,213,302,000,000.00","17,449,584,000,000.00","18,445,846,000,000.00","16,882,015,000,000.00","27,982,623,000,000.00","26,653,084,000,000.00","28,565,428,000,000.00","27,040,242,000,000.00","42,582,366,000,000.00","32,491,938,000,000.00","74,759,825,000,000.00","72,150,719,000,000.00","72,226,561,000,000.00","54,750,360,000,000.00"
Ảnh hưởng của chênh lệch tỷ giá,0.00,0.00,"-57,494,000,000.00","57,494,000,000.00",0.00,0.00,"-62,480,000,000.00","62,480,000,000.00","-338,021,000,000.00",0.00,"558,894,000,000.00","-558,894,000,000.00","24,267,000,000.00",0.00,0.00
Tiền và tương đương tiền cuối kỳ,"26,209,213,000,000.00","17,449,584,000,000.00","18,445,846,000,000.00","16,882,015,000,000.00","29,289,535,000,000.00","26,653,084,000,000.00","28,565,428,000,000.00","27,040,242,000,000.00","42,582,366,000,000.00","32,491,938,000,000.00","74,759,825,000,000.00","72,150,719,000,000.00","73,542,242,000,000.00","54,750,360,000,000.00","76,395,280,000,000.00"
,,,,,,,,,,,,,,,
Dữ liệu được cung cấp bởi FiinTrade,,,,,,,,,,,,,,,
https://fiintrade.vn/,,,,,,,,,,,,,,,
